breau,class,year,count,dead,hurt
中壢分局,乘坐不當而跌落,105,0,0,0
平鎮分局,乘坐不當而跌落,105,0,0,0
桃園分局,乘坐不當而跌落,105,0,0,0
楊梅分局,乘坐不當而跌落,105,0,0,0
龍潭分局,乘坐不當而跌落,105,0,0,0
龜山分局,乘坐不當而跌落,105,0,0,0
蘆竹分局,乘坐不當而跌落,105,0,0,0
龜山分局,動物竄出,105,0,0,0
平鎮分局,蛇行、方向不定,105,0,0,0
蘆竹分局,蛇行、方向不定,105,0,0,0
八德分局,貨物超長、寬、高而肇事,105,0,0,0
大溪分局,貨物超長、寬、高而肇事,105,0,0,0
平鎮分局,貨物超長、寬、高而肇事,105,0,0,0
楊梅分局,貨物超長、寬、高而肇事,105,0,0,0
龍潭分局,貨物超長、寬、高而肇事,105,0,0,0
龜山分局,貨物超長、寬、高而肇事,105,0,0,0
蘆竹分局,貨物超長、寬、高而肇事,105,0,0,0
八德分局,超載人員而失控,105,0,0,0
大園分局,超載人員而失控,105,0,0,0
大溪分局,超載人員而失控,105,0,0,0
中壢分局,超載人員而失控,105,0,0,0
平鎮分局,超載人員而失控,105,0,0,0
桃園分局,超載人員而失控,105,0,0,0
楊梅分局,超載人員而失控,105,0,0,0
龍潭分局,超載人員而失控,105,0,0,0
龜山分局,超載人員而失控,105,0,0,0
蘆竹分局,超載人員而失控,105,0,0,0
八德分局,搶越平交道,105,0,0,0
大園分局,搶越平交道,105,0,0,0
大溪分局,搶越平交道,105,0,0,0
中壢分局,搶越平交道,105,0,0,0
平鎮分局,搶越平交道,105,0,0,0
桃園分局,搶越平交道,105,0,0,0
楊梅分局,搶越平交道,105,0,0,0
龍潭分局,搶越平交道,105,0,0,0
龜山分局,搶越平交道,105,0,0,0
蘆竹分局,搶越平交道,105,0,0,0
大溪分局,搶越行人穿越道,105,0,0,0
八德分局,暗處停車無燈光、標識,105,0,0,0
大園分局,暗處停車無燈光、標識,105,0,0,0
大溪分局,暗處停車無燈光、標識,105,0,0,0
中壢分局,暗處停車無燈光、標識,105,0,0,0
平鎮分局,暗處停車無燈光、標識,105,0,0,0
桃園分局,暗處停車無燈光、標識,105,0,0,0
楊梅分局,暗處停車無燈光、標識,105,0,0,0
龍潭分局,暗處停車無燈光、標識,105,0,0,0
龜山分局,暗處停車無燈光、標識,105,0,0,0
蘆竹分局,暗處停車無燈光、標識,105,0,0,0
大溪分局,煞車失靈,105,0,0,0
大園分局,裝卸貨不當,105,0,0,0
大溪分局,裝卸貨不當,105,0,0,0
中壢分局,裝卸貨不當,105,0,0,0
楊梅分局,裝卸貨不當,105,0,0,0
龍潭分局,裝卸貨不當,105,0,0,0
龜山分局,裝卸貨不當,105,0,0,0
大溪分局,裝載未盡安全措施,105,0,0,0
龍潭分局,裝載未盡安全措施,105,0,0,0
龜山分局,裝載未盡安全措施,105,0,0,0
大溪分局,裝載貨物不穩妥,105,0,0,0
平鎮分局,裝載貨物不穩妥,105,0,0,0
楊梅分局,裝載貨物不穩妥,105,0,0,0
龍潭分局,裝載貨物不穩妥,105,0,0,0
蘆竹分局,裝載貨物不穩妥,105,0,0,0
龍潭分局,路況危險無安全設施,105,0,0,0
龜山分局,路況危險無安全設施,105,0,0,0
八德分局,載貨超重而失控,105,0,0,0
大園分局,載貨超重而失控,105,0,0,0
大溪分局,載貨超重而失控,105,0,0,0
中壢分局,載貨超重而失控,105,0,0,0
平鎮分局,載貨超重而失控,105,0,0,0
桃園分局,載貨超重而失控,105,0,0,0
龍潭分局,載貨超重而失控,105,0,0,0
龜山分局,載貨超重而失控,105,0,0,0
蘆竹分局,載貨超重而失控,105,0,0,0
八德分局,違規停車或暫停不當而肇事,105,0,0,0
八德分局,燈光系統故障,105,0,0,0
大園分局,燈光系統故障,105,0,0,0
大溪分局,燈光系統故障,105,0,0,0
中壢分局,燈光系統故障,105,0,0,0
桃園分局,燈光系統故障,105,0,0,0
楊梅分局,燈光系統故障,105,0,0,0
龍潭分局,燈光系統故障,105,0,0,0
龜山分局,燈光系統故障,105,0,0,0
蘆竹分局,燈光系統故障,105,0,0,0
八德分局,頭手伸出車外而肇事,105,0,0,0
大園分局,頭手伸出車外而肇事,105,0,0,0
大溪分局,頭手伸出車外而肇事,105,0,0,0
中壢分局,頭手伸出車外而肇事,105,0,0,0
平鎮分局,頭手伸出車外而肇事,105,0,0,0
桃園分局,頭手伸出車外而肇事,105,0,0,0
楊梅分局,頭手伸出車外而肇事,105,0,0,0
龍潭分局,頭手伸出車外而肇事,105,0,0,0
龜山分局,頭手伸出車外而肇事,105,0,0,0
蘆竹分局,頭手伸出車外而肇事,105,0,0,0
,,,,,
